Order ID,Order Date,Ship Date,Product Category,Product Sub-Category,Region,Sales,Profit,Quantity
10001,2021-01-02,2021-01-05,Electronics,Smartphones,West,1200.50,200.10,2
10002,2021-01-03,2021-01-06,Office Supplies,Paper,East,50.25,10.50,5
10003,2021-01-04,2021-01-07,Furniture,Chairs,Central,750.00,150.00,1
10004,2021-01-05,2021-01-08,Electronics,Laptops,South,1500.00,350.00,1
10005,2021-01-06,2021-01-09,Office Supplies,Pens,West,25.75,5.25,10
10006,2021-01-07,2021-01-10,Furniture,Tables,East,900.00,100.00,1
10007,2021-01-08,2021-01-11,Electronics,Headphones,Central,150.00,30.00,3
10008,2021-01-09,2021-01-12,Office Supplies,Binders,South,80.00,15.00,4
10009,2021-01-10,2021-01-13,Electronics,Tablets,West,600.00,120.00,1
10010,2021-01-11,2021-01-14,Office Supplies,Storage,East,300.00,50.00,2
10011,2021-01-12,2021-01-15,Furniture,Bookcases,Central,1100.00,220.00,1
10012,2021-01-13,2021-01-16,Electronics,Smartwatches,South,450.00,90.00,1
10013,2021-01-14,2021-01-17,Office Supplies,Labels,West,15.00,3.00,6
10014,2021-01-15,2021-01-18,Furniture,Chairs,East,820.00,160.00,1
10015,2021-01-16,2021-01-19,Electronics,Smartphones,Central,1150.00,190.00,2
10016,2021-01-17,2021-01-20,Office Supplies,Paper,South,60.00,12.00,6
10017,2021-01-18,2021-01-21,Furniture,Tables,West,950.00,110.00,1
10018,2021-01-19,2021-01-22,Electronics,Laptops,East,1600.00,370.00,1
10019,2021-01-20,2021-01-23,Office Supplies,Pens,Central,30.00,6.00,12
10020,2021-01-21,2021-01-24,Furniture,Bookcases,South,1200.00,240.00,1
10021,2021-01-22,2021-01-25,Electronics,Headphones,West,160.00,32.00,4
10022,2021-01-23,2021-01-26,Office Supplies,Binders,East,90.00,18.00,5
10023,2021-01-24,2021-01-27,Furniture,Chairs,Central,780.00,155.00,1
10024,2021-01-25,2021-01-28,Electronics,Smartwatches,South,480.00,95.00,1
10025,2021-01-26,2021-01-29,Office Supplies,Labels,West,18.00,3.50,7
10026,2021-02-01,2021-02-04,Electronics,Smartphones,East,1250.00,210.00,2
10027,2021-02-03,2021-02-06,Office Supplies,Paper,Central,55.00,11.00,5
10028,2021-02-05,2021-02-08,Furniture,Tables,South,980.00,115.00,1
10029,2021-02-08,2021-02-11,Electronics,Laptops,West,1700.00,380.00,1
10030,2021-02-10,2021-02-13,Office Supplies,Pens,East,28.00,5.50,11
10031,2021-02-12,2021-02-15,Furniture,Bookcases,Central,1300.00,260.00,1
10032,2021-02-14,2021-02-17,Electronics,Headphones,South,170.00,34.00,4
10033,2021-02-16,2021-02-19,Office Supplies,Binders,West,100.00,20.00,5
10034,2021-02-18,2021-02-21,Furniture,Chairs,East,850.00,170.00,1
10035,2021-02-20,2021-02-23,Electronics,Smartwatches,Central,500.00,100.00,1
10036,2021-02-22,2021-02-25,Office Supplies,Labels,South,20.00,4.00,8
10037,2021-02-24,2021-02-27,Furniture,Tables,West,1050.00,125.00,1
10038,2021-02-26,2021-03-01,Electronics,Laptops,East,1800.00,400.00,1
10039,2021-02-28,2021-03-03,Office Supplies,Pens,Central,32.00,6.50,13
10040,2021-03-02,2021-03-05,Furniture,Bookcases,South,1350.00,270.00,1
10041,2021-03-04,2021-03-07,Electronics,Smartphones,West,1220.00,205.00,2
10042,2021-03-06,2021-03-09,Office Supplies,Paper,East,52.00,11.00,5
10043,2021-03-08,2021-03-11,Furniture,Chairs,Central,760.00,152.00,1
10044,2021-03-10,2021-03-13,Electronics,Laptops,South,1550.00,360.00,1
10045,2021-03-12,2021-03-15,Office Supplies,Pens,West,26.00,5.30,10
